COM	NOM_COM	GENTILE
1348	Saint-Didier-sur-Chalaronne	Désidériens
1353	Sainte-Euphémie	Euphémiens
1354	Saint-Genis-Pouilly	Saint-Genésiens
1357	Saint-Germain-de-Joux	San-Germinois
1360	Saint-Jean-de-Gonville	Gonvillois
1362	Saint-Jean-de-Thurigneux	Thurignaciens
1368	Saint-Julien-sur-Veyle	Juliveylois
1370	Saint-Laurent-sur-Saône	Saint-Laurentins
1371	Saint-Marcel	Marcellinois
1372	Saint-Martin-de-Bavel	Saint-Martenants
1373	Saint-Martin-du-Frêne	San-Martinois
1374	Saint-Martin-du-Mont	Saint-Martinois
1376	Saint-Maurice-de-Beynost	Mauriciens
1379	Saint-Maurice-de-Rémens	Rémensois
1383	Saint-Paul-de-Varax	Varaxois
1384	Saint-Rambert-en-Bugey	Rambertois
1385	Saint-Rémy	Sanrimois
1386	Saint-Sorlin-en-Bugey	Saint-Sorlinois
1388	Saint-Trivier-de-Courtes	Trivicourtois
1389	Saint-Trivier-sur-Moignans	Utingeois
1390	Saint-Vulbas	Villibadois
1392	Samognat	Samognatis
1393	Sandrans	Sandranais
1397	Sauverny	Sauverniens
1399	Ségny	Segnerands
1401	Sergy	Sergiens
1402	Sermoyer	Sermoyards
1403	Serrières-de-Briord	Serrièrois
1405	Servas	Servassiens
1407	Seyssel	Seysselans
1408	Simandre-sur-Suran	Simandrins
1415	Talissieu	Tarcholands
1416	Tenay	Tenaysiens
1418	Thil	Thilois
1419	Thoiry	Thoirysiens
1420	Thoissey	Thoisseyens
1422	Tossiat	Tossiatis
1423	Toussieux	Toussinois
1425	La Tranclière	Tranclériens
1427	Trévoux	Trévoltiens
1444	Villebois	Villeboisiens
1445	Villemotier	Villemontois
1446	Villeneuve	Villeneuvois
1447	Villereversure	Surannais
1448	Villes	Villatus
1449	Villette-sur-Ain	Villetois
1450	Villieu-Loyes-Mollon	Villacuciens
1451	Viriat	Viriatis
2003	Acy	Acéens
2005	Aguilcourt	Aguilcourtois
2008	Aizy-Jouy	Aizyjois
2011	Ambleny	Amblenois
2012	Ambrief	Ambriérois
2013	Amifontaine	Amifontenois
2014	Amigny-Rouy	Amignyrouysiens
2029	Attilly	Attilliens
2031	Aubenton	Aubentonnais
2032	Aubigny-aux-Kaisnes	Aubinois
2033	Aubigny-en-Laonnois	Albignyacois
2034	Audignicourt	Audignicourtois
2035	Audigny	Audignois
2038	Les Autels	Autelois
2041	Autreville	Autrevillais
2052	Bassoles-Aulers	Bassolois
2055	Beaumé	Beauméens
2057	Beaurevoir	Bellovisiens
2058	Beaurieux	Beaurivois
2060	Beauvois-en-Vermandois	Beauvoisiens
2061	Becquigny	Becquignois
2063	Bellenglise	Bellenglisois
2065	Bellicourt	Bellicourtois
2070	Bernot	Bernotois
2072	Berrieux	Berrieusiens
2074	Bertaucourt-Epourdon	Bertaucourtois
2076	Bertricourt	Bertricourtois
2077	Berzy-le-Sec	Berzyciens
2079	Besmont	Besmontois
2082	Beugneux	Beugneusiens
2084	Bézu-le-Guéry	Bézuyats
2085	Bézu-Saint-Germain	Bézuacois
