"","topic","term","beta"
"137",2,"carrefour",1.25050020008003e-05
"138",3,"carrefour",1.38278160347355e-05
"139",4,"carrefour",1.53638151425762e-05
"140",5,"carrefour",1.48218414655837e-05
"141",6,"carrefour",1.38603980706326e-05
"142",7,"carrefour",0.00046892963030193
"143",8,"carrefour",1.34956409079867e-05
"144",9,"carrefour",1.52746379910796e-05
"145",1,"centre",1.61061718850664e-05
"146",2,"centre",1.25050020008003e-05
"147",3,"centre",0.000290384136729445
"148",4,"centre",0.000169001966568338
"149",5,"centre",1.48218414655837e-05
"150",6,"centre",1.38603980706326e-05
"151",7,"centre",1.51267622678042e-05
"152",8,"centre",1.34956409079867e-05
"153",9,"centre",0.00520865155495815
"154",1,"charte",0.000338229609586394
"155",2,"charte",1.25050020008003e-05
"156",3,"charte",1.38278160347355e-05
"157",4,"charte",0.000629916420845624
"158",5,"charte",1.48218414655837e-05
"159",6,"charte",0.00181571214725287
"160",7,"charte",1.51267622678042e-05
"161",8,"charte",1.34956409079867e-05
"162",9,"charte",1.52746379910796e-05
"163",1,"circuit",1.61061718850664e-05
"164",2,"circuit",1.25050020008003e-05
"165",3,"circuit",0.0343068115821787
"166",4,"circuit",1.53638151425762e-05
"167",5,"circuit",1.48218414655837e-05
"168",6,"circuit",1.38603980706326e-05
"169",7,"circuit",1.51267622678042e-05
"170",8,"circuit",1.34956409079867e-05
"171",9,"circuit",1.52746379910796e-05
"172",1,"citoyen",1.61061718850664e-05
"173",2,"citoyen",1.25050020008003e-05
"174",3,"citoyen",1.38278160347355e-05
"175",4,"citoyen",0.000169001966568338
"176",5,"citoyen",1.48218414655837e-05
"177",6,"citoyen",0.00486499972279204
"178",7,"citoyen",1.51267622678042e-05
"179",8,"citoyen",1.34956409079867e-05
"180",9,"citoyen",1.52746379910796e-05
"181",1,"classé",0.00017716789073573
"182",2,"classé",0.000262605042016807
"183",3,"classé",1.38278160347355e-05
"184",4,"classé",1.53638151425762e-05
"185",5,"classé",1.48218414655837e-05
"186",6,"classé",1.38603980706326e-05
"187",7,"classé",1.51267622678042e-05
"188",8,"classé",0.000418364868147588
"189",9,"classé",1.52746379910796e-05
"190",1,"collectif",1.61061718850664e-05
"191",2,"collectif",1.25050020008003e-05
"192",3,"collectif",0.0470284023341354
"193",4,"collectif",1.53638151425762e-05
"194",5,"collectif",0.00016304025612142
"195",6,"collectif",1.38603980706326e-05
"196",7,"collectif",1.51267622678042e-05
"197",8,"collectif",1.34956409079867e-05
"198",9,"collectif",1.52746379910796e-05
"199",1,"commun",1.61061718850664e-05
"200",2,"commun",1.25050020008003e-05
"201",3,"commun",1.38278160347355e-05
"202",4,"commun",1.53638151425762e-05
"203",5,"commun",1.48218414655837e-05
"204",6,"commun",0.0127654266230526
"205",7,"commun",1.51267622678042e-05
"206",8,"commun",1.34956409079867e-05
"207",9,"commun",0.0343832101179202
"208",1,"compte",0.00790813039556758
"209",2,"compte",1.25050020008003e-05
"210",3,"compte",1.38278160347355e-05
"211",4,"compte",0.000476278269419863
"212",5,"compte",1.48218414655837e-05
"213",6,"compte",1.38603980706326e-05
"214",7,"compte",1.51267622678042e-05
"215",8,"compte",0.000553321277227456
"216",9,"compte",0.00475041241522576
"217",1,"compter",1.61061718850664e-05
"218",2,"compter",1.25050020008003e-05
"219",3,"compter",1.38278160347355e-05
"220",4,"compter",1.53638151425762e-05
"221",5,"compter",1.48218414655837e-05
"222",6,"compter",1.38603980706326e-05
"223",7,"compter",1.51267622678042e-05
"224",8,"compter",0.000283408459067721
"225",9,"compter",0.00169548481700984
"226",1,"conduire",1.61061718850664e-05
"227",2,"conduire",1.25050020008003e-05
"228",3,"conduire",1.38278160347355e-05
"229",4,"conduire",1.53638151425762e-05
"230",5,"conduire",0.00342384537854983
"231",6,"conduire",1.38603980706326e-05
"232",7,"conduire",1.51267622678042e-05
"233",8,"conduire",1.34956409079867e-05
"234",9,"conduire",0.000473513777723468
"235",1,"confluence",1.61061718850664e-05
"236",2,"confluence",1.25050020008003e-05
"237",3,"confluence",1.38278160347355e-05
"238",4,"confluence",1.53638151425762e-05
"239",5,"confluence",1.48218414655837e-05
"240",6,"confluence",1.38603980706326e-05
"241",7,"confluence",1.51267622678042e-05
"242",8,"confluence",1.34956409079867e-05
"243",9,"confluence",0.000473513777723468
"244",1,"consommation",1.61061718850664e-05
"245",2,"consommation",0.00739045618247299
"246",3,"consommation",0.0124588622472967
"247",4,"consommation",1.53638151425762e-05
"248",5,"consommation",0.00416493745182901
"249",6,"consommation",1.38603980706326e-05
"250",7,"consommation",0.000922732498336056
"251",8,"consommation",1.34956409079867e-05
"252",9,"consommation",1.52746379910796e-05
"253",1,"contrairement",0.000338229609586394
"254",2,"contrairement",1.25050020008003e-05
"255",3,"contrairement",1.38278160347355e-05
"256",4,"contrairement",1.53638151425762e-05
"257",5,"contrairement",1.48218414655837e-05
"258",6,"contrairement",1.38603980706326e-05
"259",7,"contrairement",1.51267622678042e-05
"260",8,"contrairement",1.34956409079867e-05
"261",9,"contrairement",1.52746379910796e-05
"262",1,"croiser",0.000821414766138385
"263",2,"croiser",1.25050020008003e-05
"264",3,"croiser",0.00015210597638209
"265",4,"croiser",1.53638151425762e-05
"266",5,"croiser",1.48218414655837e-05
"267",6,"croiser",0.000152464378776958
"268",7,"croiser",0.000166394384945846
"269",8,"croiser",1.34956409079867e-05
"270",9,"croiser",1.52746379910796e-05
"271",1,"devenir",0.00114353820383971
"272",2,"devenir",1.25050020008003e-05
"273",3,"devenir",1.38278160347355e-05
"274",4,"devenir",1.53638151425762e-05
"275",5,"devenir",1.48218414655837e-05
"276",6,"devenir",1.38603980706326e-05
"277",7,"devenir",0.00122526774369214
"278",8,"devenir",0.00217279818618586
"279",9,"devenir",1.52746379910796e-05
"280",1,"document",0.00017716789073573
"281",2,"document",1.25050020008003e-05
"282",3,"document",1.38278160347355e-05
"283",4,"document",0.000476278269419863
"284",5,"document",1.48218414655837e-05
"285",6,"document",0.000152464378776958
"286",7,"document",0.000771464875658014
"287",8,"document",1.34956409079867e-05
"288",9,"document",1.52746379910796e-05
"289",1,"dominant",1.61061718850664e-05
"290",2,"dominant",0.00288865546218487
"291",3,"dominant",0.000843496778118864
"292",4,"dominant",1.53638151425762e-05
"293",5,"dominant",1.48218414655837e-05
"294",6,"dominant",1.38603980706326e-05
"295",7,"dominant",1.51267622678042e-05
"296",8,"dominant",0.000148452049987854
"297",9,"dominant",1.52746379910796e-05
"298",1,"durable",0.000499291328437057
"299",2,"durable",1.25050020008003e-05
"300",3,"durable",1.38278160347355e-05
